url,status,final_url,language_guess,page_type,title,meta_description,canonical,hreflang_count,html_lang,h1_count,has_main,images_missing_alt
https://plami.com.mx/,0,,ES,corporativa,,,,0,,0,False,0
https://plami.com.mx/aviso-de-privacidad/,0,,ES,legal,,,,0,,0,False,0
https://plami.com.mx/aviso-de-privacidad-proveedores-personas-fisicas/,0,,ES,legal,,,,0,,0,False,0
https://plami.com.mx/aviso-de-privacidad-trabajadores-y-prestadores-de-servicios/,0,,ES,legal,,,,0,,0,False,0
https://plami.com.mx/biodegradables/,0,,ES,corporativa,,,,0,,0,False,0
https://plami.com.mx/carrito/,0,,ES,e-commerce,,,,0,,0,False,0
https://plami.com.mx/certificaciones/,0,,ES,corporativa,,,,0,,0,False,0
https://plami.com.mx/certificacion-fssc/,0,,ES,corporativa,,,,0,,0,False,0
https://plami.com.mx/certificacion-iso/,0,,ES,corporativa,,,,0,,0,False,0
https://plami.com.mx/certificacion-iso-papalotla/,0,,ES,corporativa,,,,0,,0,False,0
https://plami.com.mx/contacto/,0,,ES,corporativa,,,,0,,0,False,0
https://plami.com.mx/corestock-indusctrial-pvc-artes-graficas-plami/,0,,ES,corporativa,,,,0,,0,False,0
https://plami.com.mx/elementor-pagina-6120/,0,,ES,corporativa,,,,0,,0,False,0
https://plami.com.mx/empaque/,0,,ES,producto/categoría,,,,0,,0,False,0
https://plami.com.mx/en/about-us/,0,,EN,corporativa,,,,0,,0,False,0
https://plami.com.mx/en/biodegradable/,0,,EN,corporativa,,,,0,,0,False,0
https://plami.com.mx/en/certifications/,0,,EN,corporativa,,,,0,,0,False,0
https://plami.com.mx/en/contact/,0,,EN,corporativa,,,,0,,0,False,0
https://plami.com.mx/en/flexible/,0,,EN,corporativa,,,,0,,0,False,0
https://plami.com.mx/en/flooring/,0,,EN,corporativa,,,,0,,0,False,0
https://plami.com.mx/en/food/,0,,EN,producto/categoría,,,,0,,0,False,0
https://plami.com.mx/en/fssc-certification/,0,,EN,corporativa,,,,0,,0,False,0
https://plami.com.mx/en/geosynthetics/,0,,EN,corporativa,,,,0,,0,False,0
https://plami.com.mx/en/graphic-arts/,0,,EN,corporativa,,,,0,,0,False,0
https://plami.com.mx/en/home/,0,,EN,corporativa,,,,0,,0,False,0
https://plami.com.mx/en/iso-certification/,0,,EN,corporativa,,,,0,,0,False,0
https://plami.com.mx/en/iso-certification-papalotla/,0,,EN,corporativa,,,,0,,0,False,0
https://plami.com.mx/en/notice-of-privacy/,0,,EN,legal,,,,0,,0,False,0
https://plami.com.mx/en/packaging/,0,,EN,producto/categoría,,,,0,,0,False,0
https://plami.com.mx/en/pharmaceutical/,0,,EN,producto/categoría,,,,0,,0,False,0
https://plami.com.mx/en/products/,0,,EN,producto/categoría,,,,0,,0,False,0
https://plami.com.mx/en/woods/,0,,EN,corporativa,,,,0,,0,False,0
https://plami.com.mx/expo-pack-gdl-2025/,0,,ES,blog/landing,,,,0,,0,False,0
https://plami.com.mx/fabricante-de-peliculas-de-pvc-para-empaque-y-blister/,0,,ES,producto/categoría,,,,0,,0,False,0
https://plami.com.mx/fabricantes-de-pvc-en-mexico-peliculas-plasticas/,0,,ES,corporativa,,,,0,,0,False,0
https://plami.com.mx/finalizar-compra/,0,,ES,e-commerce,,,,0,,0,False,0
https://plami.com.mx/geosinteticos-2/,0,,ES,corporativa,,,,0,,0,False,0
https://plami.com.mx/maderas-2/,0,,ES,corporativa,,,,0,,0,False,0
https://plami.com.mx/mi-cuenta/,0,,ES,e-commerce,,,,0,,0,False,0
https://plami.com.mx/notificaciones/,0,,ES,corporativa,,,,0,,0,False,0
https://plami.com.mx/nuevo-aclar/,0,,ES,corporativa,,,,0,,0,False,0
https://plami.com.mx/peliculas-de-pvc-para-blister-farmaceutico/,0,,ES,corporativa,,,,0,,0,False,0
https://plami.com.mx/peliculas-de-pvc-y-pet-grado-alimenticio/,0,,ES,corporativa,,,,0,,0,False,0
https://plami.com.mx/pharmaplami-aclar/,0,,ES,corporativa,,,,0,,0,False,0
https://plami.com.mx/pisos-2/,0,,ES,corporativa,,,,0,,0,False,0
https://plami.com.mx/portafolio/,0,,ES,corporativa,,,,0,,0,False,0
https://plami.com.mx/scs-global/,0,,ES,corporativa,,,,0,,0,False,0
https://plami.com.mx/sellado-de-alta-frecuencia/,0,,ES,corporativa,,,,0,,0,False,0
https://plami.com.mx/tienda/,0,,ES,e-commerce,,,,0,,0,False,0
